"date","gnk","bbby","hcci","skm","cs","azn","nvda","epac"
2017-10-02,9.438892,21.010338,21.85,40.741352,14.369677,29.461962,44.279076,25.47043
2017-10-03,9.749705,20.716549,21.700001,40.906097,14.561273,29.453363,44.370594,25.569536
2017-10-04,9.700628,20.698744,21.549999,40.840199,14.415294,29.530741,44.741646,25.668644
2017-10-05,9.978724,20.698744,21.75,40.741352,14.552148,29.427572,44.716904,25.668644
2017-10-06,9.847857,20.396051,21.25,40.593082,14.643383,29.453363,44.848011,25.866858
2017-10-09,9.381638,19.852983,22,40.939045,14.415294,29.6425,45.859749,26.015516
2017-10-10,9.888752,19.746155,21.450001,42.784184,14.543024,29.77146,46.735443,25.866858
2017-10-11,9.766061,19.577005,21.549999,42.668861,14.424418,29.73707,47.232662,25.965965
2017-10-12,9.643375,18.953817,21.549999,42.965405,14.342306,29.685486,47.254913,25.91641
2017-10-13,9.929649,18.900398,21.35,43.278419,14.442666,29.754265,48.135544,26.015516
2017-10-16,10.117774,18.891499,21.35,43.838551,14.515653,29.788652,48.961754,26.015516
2017-10-17,10.14231,18.775761,21.950001,43.113674,14.616014,29.900412,48.917248,25.817305
2017-10-18,10.420406,18.811373,21.65,43.113674,14.515653,29.788652,48.875195,25.91641
2017-10-19,10.297719,18.873695,20.35,42.454697,14.524777,29.840233,48.929615,25.718201
2017-10-20,10.641247,19.114065,19.83,42.668861,14.689003,29.762861,48.706963,26.015516
2017-10-23,10.248641,18.749054,18.85,42.257004,14.634262,29.56513,48.637718,26.015516
2017-10-24,10.248641,19.069551,19.4,42.701813,14.752868,29.410381,49.147289,25.91641
2017-10-25,9.798779,18.651127,19.200001,42.88303,14.70725,29.333014,47.905499,25.767752
2017-10-26,9.864214,18.695641,19.35,42.224052,14.561273,28.825787,48.407665,25.91641
2017-10-27,9.831498,18.08135,19.200001,42.224052,14.40617,28.791401,49.933926,25.619091
2017-10-30,9.782423,17.743052,19.200001,42.02636,14.524777,29.032114,50.423717,25.12356
2017-10-31,9.823318,17.716343,19.549999,43.064251,14.342306,29.659695,51.158409,25.272219
2017-11-01,9.831498,18.099157,19.450001,43.0313,14.241945,29.711283,51.254879,25.420877
2017-11-02,9.463429,17.556095,19.85,43.212521,14.944464,29.324409,50.943195,25.519985
2017-11-03,9.430713,17.413652,20,43.245468,14.752868,29.6425,51.623459,25.321768
2017-11-06,9.692451,17.787563,20.200001,42.619438,14.743743,29.418978,51.855984,25.371325
2017-11-07,9.308024,17.146572,19.6,42.009884,14.661632,28.894566,52.449669,24.776686
2017-11-08,9.070825,17.351332,19.5,42.158154,14.73462,28.653851,51.739727,24.925343
2017-11-09,9.25077,17.93891,19.4,41.894562,14.625138,28.464708,50.789829,24.380255
2017-11-10,9.160797,17.823172,19.25,42.306423,14.625138,28.292772,53.466362,24.479364
2017-11-13,9.054465,17.556095,18.950001,41.285007,14.479158,28.292772,52.598099,24.57847
2017-11-14,8.171101,18.00123,19.200001,41.367382,14.524777,28.585072,52.98151,24.727131
2017-11-15,8.571888,17.760857,18.35,41.976936,14.497408,28.705423,51.942562,24.082937
2017-11-16,8.301972,18.277214,18.4,42.88303,14.579518,28.817194,52.345772,24.925343
2017-11-17,8.719114,18.713442,18.299999,42.421745,14.689003,28.765606,52.283932,25.12356
2017-11-20,9.455252,18.571001,18.65,41.762768,14.70725,28.696833,52.956776,25.12356
2017-11-21,9.193514,18.045742,19.1,42.339375,14.962708,28.997725,53.444092,25.569536
2017-11-22,9.218053,18.749054,18.950001,44.019768,15.117813,29.083698,53.203983,25.321768
2017-11-24,9.316204,18.392948,19.049999,44.151566,15.254664,29.092295,53.70649,25.272219
2017-11-27,9.095363,18.464169,18.950001,44.069195,15.026574,28.954741,53.008419,25.12356
2017-11-28,9.283486,19.568104,19.1,43.970345,15.181677,28.817194,52.159355,25.668644
2017-11-29,9.569761,20.529591,19.4,43.591434,15.1908,28.645247,48.621994,26.015516
2017-11-30,9.299843,19.933115,19.15,45.205933,15.41889,28.258381,49.683949,26.164177
2017-12-01,9.635196,19.959822,19.299999,45.107082,15.628734,28.241192,48.933899,26.411943
2017-12-04,9.880575,21.722549,19.299999,45.23888,15.692601,27.656593,46.206001,26.709265
2017-12-05,9.447071,20.983629,19.25,46.062603,15.400643,27.682386,46.473343,26.114626
2017-12-06,9.447071,20.556303,19.450001,45.930805,15.300284,27.587818,46.849598,25.965965
2017-12-07,9.308024,20.093359,19.450001,46.112026,15.39152,27.699577,47.525391,25.47043
2017-12-08,9.455252,20.547396,19.4,45.156506,15.90244,28.146624,47.401619,26.065069
2017-12-11,9.823318,20.707647,19.15,45.947281,15.90244,28.473307,48.186317,25.767752
2017-12-12,11.050211,20.636425,19.799999,44.991764,15.957183,28.731216,47.240719,25.767752
2017-12-13,10.543097,20.974724,19.85,46.029655,15.975432,28.860174,46.08717,25.91641
2017-12-14,10.371332,20.123552,20.35,46.062603,15.984556,28.619461,46.158962,25.173113
2017-12-15,10.534917,20.266909,20.85,46.457989,16.066666,28.481905,47.418941,25.817305
2017-12-18,10.755755,21.153923,21.549999,46.210873,16.294758,28.662443,48.988358,27.006584
2017-12-19,10.608532,21.476473,21.15,46.01318,16.221771,28.499102,48.545265,27.254351
2017-12-20,10.633066,22.014053,21.299999,45.947281,16.066666,28.378738,48.716068,25.47043
2017-12-21,11.148362,19.272375,21.799999,46.161449,16.440737,28.748413,48.490791,24.231598
2017-12-22,10.878447,20.09667,21.4,46.540363,16.385992,28.894566,48.337318,24.380255
2017-12-26,10.919345,20.732815,21.700001,47.199341,16.331251,28.928951,48.874496,24.87579
2017-12-27,11.074748,20.544659,21.700001,46.902802,16.23089,28.989132,48.807655,24.776686
2017-12-28,11.091108,20.320665,22.35,45.914333,16.294758,29.324409,48.864574,25.569536
