,Symbol,ETF Name,,,
1,GLD,SPDR Gold Shares,,,
2,IAU,iShares Gold Trust,,,
3,SLV,iShares Silver Trust,,,
4,DBC,Invesco DB Commodity Index Tracking Fund,,,
5,USO,United States Oil Fund LP,,,
6,SGOL,abrdn Physical Gold Shares ETF,,,
7,DBA,Invesco DB Agriculture Fund,,,
8,GSG,iShares S&P GSCI Commodity-Indexed Trust,,,
9,UCO,ProShares Ultra Bloomberg Crude Oil,,,
10,SIVR,abrdn Physical Silver Shares ETF,,,
11,DJP,iPath Bloomberg Commodity Index Total Return ETN,,,
12,PPLT,abrdn Physical Platinum Shares ETF,,,
13,DBB,Invesco DB Base Metals Fund,,,
14,AGQ,ProShares Ultra Silver,,,
15,DBO,Invesco DB Oil Fund,,,
16,PALL,abrdn Physical Palladium Shares ETF,,,
17,UNG,United States Natural Gas Fund LP,,,
18,SCO,ProShares UltraShort Bloomberg Crude Oil,,,
19,GCC,WisdomTree Enhanced Commodity Strategy Fund,,,
20,UGL,ProShares Ultra Gold,,,
22,DBE,Invesco DB Energy Fund,,,
24,USL,United States 12 Month Oil Fund LP,,,
25,DBP,Invesco DB Precious Metals Fund,,,
26,UGA,United States Gasoline Fund LP,,,
27,DGP,DB Gold Double Long Exchange Traded Notes,,,
30,UNL,United States 12 Month Natural Gas Fund LP,,,
31,GLL,ProShares UltraShort Gold,,,
32,ZSL,ProShares UltraShort Silver,,,
38,DZZ,DB Gold Double Short Exchange Traded Notes,,,
39,DGZ,DB Gold Short Exchange Traded Notes,,,
