Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,115.089996,117.370003,111.019997,112.160004,97.836288,792854000
2014-02-01,111.870003,118.709999,107.269997,117.519997,102.511757,844601900
2014-03-01,116.519997,120.580002,113.690002,116.339996,101.482460,1045242100
2014-04-01,116.629997,118.480003,108.660004,111.980003,97.931496,1116610700
2014-05-01,111.750000,113.839996,107.440002,112.860001,98.701096,1099414400
2014-06-01,113.070000,118.910004,111.110001,118.809998,103.904625,790245900
2014-07-01,119.260002,120.970001,111.050003,111.190002,97.240608,888665600
2014-08-01,111.160004,116.940002,109.860001,116.559998,102.328239,690036500
2014-09-01,116.980003,117.800003,109.309998,109.349998,95.998581,775199100
2014-10-01,109.290001,116.959999,103.540001,116.559998,102.609390,1418613400
2014-11-01,116.750000,118.779999,114.370003,116.690002,102.723808,563178300
2014-12-01,116.320000,121.410004,113.029999,119.620003,105.303131,856628400
2015-01-01,120.070000,120.559998,114.199997,115.699997,102.231865,758817500
2015-02-01,116.120003,123.360001,114.379997,122.580002,108.311005,510125500
2015-03-01,122.550003,126.320000,119.830002,124.370003,109.892624,607203400
2015-04-01,124.230003,127.129997,120.660004,121.180000,107.400810,570701300
2015-05-01,121.519997,125.470001,120.239998,123.889999,109.802643,611023100
2015-06-01,124.690002,129.100006,123.029999,124.860001,110.662361,669768900
2015-07-01,125.769997,126.739998,119.339996,122.959999,108.978401,683449100
2015-08-01,123.029999,123.529999,108.260002,115.199997,102.533913,871351200
2015-09-01,113.110001,118.889999,106.989998,109.199997,97.193611,770027600
2015-10-01,109.370003,117.139999,107.120003,115.339996,102.953110,800281100
2015-11-01,115.449997,120.070000,113.360001,119.099998,106.309303,580116600
2015-12-01,119.610001,120.040001,110.279999,112.620003,100.525223,749485000
2016-01-01,110.610001,110.830002,95.059998,102.959999,92.301506,1028012900
2016-02-01,102.139999,104.029999,93.639999,102.730003,92.095329,815894100
2016-03-01,103.620003,111.169998,103.070000,110.629997,99.177528,749634900
2016-04-01,109.610001,115.050003,108.129997,112.480003,101.138824,554198800
2016-05-01,112.830002,115.540001,107.989998,115.000000,103.404716,611688000
2016-06-01,114.610001,118.639999,108.190002,114.980003,103.386765,744735500
2016-07-01,115.050003,121.760002,112.309998,121.070000,108.862724,477046200
2016-08-01,121.199997,124.459999,119.099998,123.230003,111.413475,464701000
2016-09-01,123.339996,125.879997,119.879997,124.209999,112.299500,568715500
2016-10-01,123.830002,124.739998,117.750000,118.500000,107.433128,479702200
2016-11-01,118.660004,134.100006,114.879997,131.610001,119.318779,901384500
2016-12-01,132.250000,138.820007,130.289993,134.850006,122.256210,654446200
2017-01-01,136.490005,137.960007,133.119995,135.229996,123.106384,572825400
2017-02-01,136.220001,140.320007,133.889999,137.839996,125.482376,492792400
2017-03-01,139.649994,140.860001,132.399994,137.479996,125.154694,734707000
2017-04-01,137.970001,141.820007,133.660004,139.059998,126.957581,587191600
2017-05-01,139.639999,140.339996,134.229996,136.320007,124.456024,579204400
2017-06-01,136.720001,142.899994,136.270004,140.919998,128.655640,643359500
2017-07-01,141.339996,144.250000,138.830002,141.509995,129.194336,370456200
2017-08-01,142.169998,142.199997,134.119995,139.729996,128.120285,527664400
2017-09-01,139.979996,148.429993,138.580002,148.179993,135.868210,488888500
2017-10-01,148.309998,150.679993,147.220001,149.259995,137.189835,467774100
2017-11-01,150.500000,154.550003,144.500000,153.649994,141.224838,523762900
2017-12-01,153.020004,155.410004,148.750000,152.460007,140.131073,514391900
2018-01-01,153.199997,160.630005,152.460007,156.360001,144.260239,432450700
2018-02-01,155.729996,157.210007,142.500000,150.350006,138.715332,609503900
2018-03-01,150.050003,160.300003,148.380005,151.830002,140.080795,515239000
2018-04-01,151.520004,158.380005,147.179993,153.320007,141.782120,429542400
2018-05-01,153.009995,164.389999,151.710007,162.770004,150.520966,391840700
2018-06-01,163.830002,170.199997,162.259995,163.770004,151.445724,456055100
2018-07-01,162.759995,169.869995,162.479996,165.869995,153.387695,401158500
2018-08-01,165.699997,173.389999,164.500000,173.020004,160.579025,372351500
2018-09-01,172.789993,173.119995,167.449997,168.550003,156.430450,328645500
2018-10-01,169.289993,169.320007,144.699997,150.029999,139.611603,786010400
2018-11-01,150.889999,157.899994,145.589996,152.619995,142.021729,432019900
2018-12-01,154.389999,154.479996,125.809998,133.899994,124.601669,682896600
2019-01-01,132.169998,149.300003,131.539993,149.059998,139.173187,519349800
2019-02-01,149.350006,159.500000,148.389999,156.779999,146.381104,352758000
2019-03-01,157.949997,158.779999,148.410004,153.089996,142.935837,500541900
2019-04-01,154.289993,159.610001,153.509995,158.289993,148.184937,372554600
2019-05-01,158.669998,161.110001,145.320007,145.860001,136.548477,437975000
2019-06-01,146.130005,156.220001,145.330002,155.500000,145.573059,383318500
2019-07-01,157.539993,159.229996,153.399994,156.559998,147.082031,349511600
2019-08-01,156.880005,158.169998,144.250000,148.839996,139.829407,502590900
2019-09-01,147.449997,158.919998,146.000000,151.339996,142.178070,474497500
2019-10-01,152.110001,157.339996,144.929993,155.449997,146.552567,379097800
2019-11-01,156.399994,162.929993,156.050003,161.770004,152.510864,294907400
2019-12-01,162.149994,167.119995,158.100006,165.669998,156.187622,323253900
2020-01-01,166.740005,170.559998,160.029999,160.529999,151.897003,368756200
2020-02-01,161.600006,169.139999,143.910004,146.330002,138.460663,450114400
2020-03-01,147.970001,154.199997,95.690002,114.459999,108.304596,1173910900
2020-04-01,108.699997,136.850006,102.599998,130.309998,123.778954,913435900
2020-05-01,127.150002,144.740005,117.180000,138.899994,131.938431,758829500
2020-06-01,139.259995,153.389999,133.279999,143.179993,136.003922,883734300
2020-07-01,143.649994,150.199997,137.240005,147.360001,140.447815,543624300
2020-08-01,148.289993,159.820007,147.220001,155.429993,148.139206,370395000
