Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,64.279999,67.620003,64.050003,67.320000,44.828091,68138100
2014-02-01,67.220001,70.989998,65.989998,70.730003,47.098782,82899000
2014-03-01,70.290001,72.010002,68.790001,70.620003,47.025539,80879900
2014-04-01,70.769997,72.989998,70.129997,72.940002,48.887787,68785200
2014-05-01,73.059998,75.019997,72.309998,74.690002,50.060707,59941900
2014-06-01,74.919998,76.769997,73.650002,74.839996,50.161255,65971500
2014-07-01,74.889999,76.879997,74.309998,74.900002,50.669060,59277200
2014-08-01,74.889999,77.839996,74.000000,77.180000,52.211475,47424400
2014-09-01,77.050003,78.080002,71.089996,71.849998,48.605789,75046600
2014-10-01,71.599998,79.050003,71.320000,78.989998,53.932640,93672300
2014-11-01,79.029999,81.440002,78.059998,80.570000,55.011429,58834200
2014-12-01,80.500000,83.089996,79.169998,81.000000,55.305031,92391000
2015-01-01,81.699997,89.269997,81.339996,86.550003,59.899891,98662800
2015-02-01,86.529999,87.790001,82.430000,83.370003,57.699039,95072700
2015-03-01,83.580002,87.610001,80.220001,84.309998,58.349594,99575200
2015-04-01,84.370003,86.000000,78.889999,79.379997,55.265972,81097900
2015-05-01,79.470001,81.570000,77.720001,79.139999,55.098881,88165300
2015-06-01,79.389999,80.260002,74.500000,74.690002,52.000690,101210400
2015-07-01,74.379997,79.629997,74.360001,79.000000,55.557549,83202000
2015-08-01,79.269997,80.830002,72.250000,74.029999,52.062351,91513100
2015-09-01,73.290001,77.739998,71.669998,75.540001,53.124279,87292500
2015-10-01,75.660004,81.769997,75.040001,79.889999,56.745087,84705000
2015-11-01,80.070000,81.599998,76.120003,79.389999,56.389946,80265400
2015-12-01,79.500000,80.910004,77.070000,79.730003,56.631432,91975000
2016-01-01,79.070000,80.540001,72.330002,76.989998,55.449051,118618300
2016-02-01,76.519997,77.779999,70.889999,76.709999,55.247379,88688200
2016-03-01,76.779999,83.910004,76.639999,83.800003,60.353691,80968400
2016-04-01,83.629997,84.010002,80.680000,81.830002,59.594551,70280400
2016-05-01,81.779999,86.820000,80.959999,83.669998,60.934574,78273300
2016-06-01,83.379997,88.669998,83.290001,88.669998,64.575966,88715800
2016-07-01,88.970001,92.919998,87.879997,92.449997,67.934013,66045800
2016-08-01,92.330002,92.750000,87.589996,88.970001,65.376846,92169700
2016-09-01,89.070000,90.800003,84.129997,86.739998,63.738216,102158400
2016-10-01,86.010002,86.290001,80.040001,81.760002,60.494083,98264800
2016-11-01,81.400002,81.730003,76.980003,80.389999,59.480431,128388400
2016-12-01,79.919998,84.260002,78.760002,82.529999,61.063801,96180900
2017-01-01,82.980003,84.699997,81.570000,82.370003,62.224808,94874600
2017-02-01,82.279999,86.160004,81.320000,85.260002,64.407982,70198700
2017-03-01,85.000000,85.489998,79.980003,82.589996,62.390957,113420100
2017-04-01,82.360001,85.720001,82.320000,82.790001,62.999138,81135700
2017-05-01,83.150002,83.650002,80.699997,82.190002,62.542568,98725200
2017-06-01,81.959999,85.389999,81.760002,83.230003,63.333965,93467200
2017-07-01,83.559998,84.730003,80.580002,84.260002,64.730171,63756900
2017-08-01,84.519997,85.000000,81.730003,84.040001,64.561172,55338900
2017-09-01,84.059998,85.800003,82.070000,83.089996,63.831356,70001300
2017-10-01,83.220001,85.000000,81.339996,82.199997,63.796780,71910400
2017-11-01,82.339996,85.480003,82.150002,84.389999,65.496460,73385100
2017-12-01,84.489998,86.139999,81.180000,82.980003,64.402153,91535200
2018-01-01,83.040001,83.169998,77.919998,79.449997,62.617794,113314100
2018-02-01,79.089996,79.739998,72.050003,73.349998,57.810131,168821800
2018-03-01,73.190002,76.660004,72.620003,75.470001,59.480995,141198400
2018-04-01,75.339996,76.709999,73.550003,76.089996,60.552792,112218300
2018-05-01,76.080002,79.400002,75.500000,78.889999,62.781021,93478400
2018-06-01,78.589996,81.800003,78.430000,81.449997,64.818314,115031400
2018-07-01,81.519997,83.160004,79.989998,81.940002,65.812767,107574400
2018-08-01,81.349998,84.550003,81.129997,84.050003,67.507500,90618000
2018-09-01,83.860001,84.070000,79.180000,80.680000,64.800758,94412300
2018-10-01,80.599998,80.820000,75.379997,78.320000,63.786781,168456100
2018-11-01,78.379997,82.050003,77.150002,81.980003,66.767609,114197000
2018-12-01,82.480003,83.309998,71.080002,74.570000,60.732635,213633400
2019-01-01,73.559998,83.470001,72.529999,83.410004,68.743996,151841800
2019-02-01,83.489998,85.449997,81.720001,83.989998,69.222000,142887900
2019-03-01,83.940002,87.419998,82.820000,86.910004,71.628586,147869500
2019-04-01,87.000000,88.139999,83.779999,86.769997,72.024483,105284800
2019-05-01,86.769997,88.589996,84.959999,86.889999,72.124107,105994700
2019-06-01,87.199997,91.849998,85.949997,87.400002,72.547447,106185400
2019-07-01,87.980003,91.000000,86.330002,88.889999,74.493820,110612600
2019-08-01,89.010002,92.550003,86.449997,92.220001,77.284508,100972200
2019-09-01,92.199997,94.070000,91.239998,93.250000,78.147713,90812700
2019-10-01,93.199997,95.489998,91.389999,94.300003,79.660851,84281600
2019-11-01,94.410004,94.790001,90.519997,93.070000,78.621780,98605700
2019-12-01,92.699997,93.370003,89.220001,92.790001,78.385262,115389300
2020-01-01,93.190002,96.150002,90.849998,93.930000,80.199745,98448400
2020-02-01,93.879997,99.720001,84.660004,87.330002,74.564522,119825600
2020-03-01,87.650002,94.400002,55.580002,69.849998,59.639660,298513300
2020-04-01,66.510002,79.989998,63.270000,76.110001,65.491753,182121800
2020-05-01,74.080002,78.820000,66.269997,77.430000,66.627586,144158700
2020-06-01,77.360001,86.800003,75.660004,78.529999,67.574142,146935800
